team,FGA_2,FGM_2,FGR_2,FGR_3,FGA_3,FGM_3,FTA,FTM,FTR,AST,BLK,STL,TOV,TOV_team,DREB,OREB,F_tech,F_personal,team_score,opponent_team_score,point_diff,largest_lead,notD1_incomplete,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away,home_away_NS,travel_dist,min,max,offense_weighted_sum,defense_weighted_sum,extra_weighted_sum,offense_weighted_sum_scaled,defense_weighted_sum_scaled,extra_weighted_sum_scaled
missouri_tigers,56.3,25.43333333,0.454973607,0.372333604,20.76666667,8.0,15.63333333,11.43333333,0.73134328,13.43333333,1.866666667,5.566666667,14.73333333,0.933333333,27.26666667,8.833333333,0.1,15.96666667,70.3,66.93333333,3.36666667,12.86666667,,5.0,3.862068966,2986.708333,0.0,565.8275862,,0.066666667,389.9666667,0.0,2986.708333,7.161417389487377,11.535211167766182,46.68362251511138,47.6389404008052,68.18412675502981,37.91618709669639
lsu_tigers,64.0,28.67857143,0.448491245,0.344849407,10.17857143,3.428571429,19.64285714,13.07142857,0.66545455,14.17857143,4.107142857,8.25,13.67857143,0.535714286,30.0,13.53571429,0.107142857,14.5,73.85714286,60.71428571,13.14285715,19.57142857,,5.0,4.259259259,5447.296296,0.071428571,567.3703704,,0.25,420.3928571,0.071428571,5447.296296,10.053736814286676,13.909315714274069,47.362865795082215,66.71099232496053,87.14973458324607,38.640611162090984
south_carolina_gamecocks,61.5483871,26.74193548,0.438016749,0.315578266,15.09677419,4.774193548,19.41935484,13.03225806,0.67109635,14.19354839,7.774193548,6.290322581,14.64516129,0.709677419,30.96774194,16.67741935,0.0,13.67741935,71.29032258,51.67741935,19.61290323,25.19354839,,5.0,3.9,8482.275862,-0.193548387,593.8,,0.129032258,457.6451613,-0.193548387,8482.275862,12.316464455650005,14.416837744758071,49.32552128397684,81.63149477579114,91.20409007003283,40.73381533526309
tennessee_lady_volunteers,63.58064516,26.41935484,0.415849834,0.298011206,14.4516129,4.387096774,19.83870968,12.70967742,0.64065041,14.64516129,5.967741935,6.290322581,17.19354839,0.516129032,31.61290323,16.32258065,0.064516129,15.51612903,69.93548387,60.19354839,9.74193548,17.03225806,,5.0,3.833333333,6886.137931,-0.225806452,565.9333333,,0.161290323,397.9032258,-0.225806452,6886.137931,9.168291283948786,14.210006647427928,46.7303580425222,60.872334607620985,89.55181343191549,37.96603130092136
auburn_tigers,59.89285714,23.14285714,0.389858813,0.279180487,13.78571429,3.928571429,20.35714286,13.5,0.663157894643767,11.21428571,3.428571429,8.464285714,14.96428571,0.785714286,23.64285714,12.53571429,0.142857143,18.57142857,63.71428571,65.89285714,-2.17857143,9.964285714,,5.0,4.111111111,2665.074074,0.0,498.4444444,,0.107142857,271.6428571,0.0,2665.074074,5.829055157874044,10.394885284627517,40.93851852019335,38.853298868533486,59.074598058080106,31.78893973947269
florida_gators,62.0,25.32258065,0.409943033,0.302377481,17.61290323,5.516129032,16.77419355,12.35483871,0.73653846,12.61290323,3.387096774,8.870967742,16.80645161,0.451612903,26.96774194,12.35483871,0.161290323,19.51612903,68.51612903,64.61290323,3.9032258,12.48387097,,10.0,3.833333333,2480.451613,-0.032258065,646.6333333,,0.096774194,547.3548387,-0.032258065,2480.451613,6.976085714701748,11.835888292680846,54.61047706828653,46.41685708096321,70.586095296152,46.370307101312946
arkansas_razorbacks,63.29032258,25.96774194,0.411408343,0.323014153,25.38709677,8.193548387,20.22580645,13.61290323,0.67304625,12.74193548,4.967741935,7.35483871,11.29032258,0.419354839,26.80645161,11.09677419,0.064516129,16.4516129,73.74193548,65.70967742,8.03225806,16.16129032,,5.0,3.8,3501.428571,-0.032258065,593.2,,0.193548387,351.6451613,-0.032258065,3501.428571,8.476185187350906,12.052511741157494,48.17586135487892,56.308563642989306,72.31659843521848,39.50768422110008
alabama_crimson_tide,59.16666667,24.53333333,0.417218108,0.335121952,23.2,7.766666667,19.36666667,13.7,0.707401032580482,11.2,3.0,8.9,15.2,0.7,25.3,12.03333333,0.1,16.9,70.53333333,65.13333333,5.4,16.4,,7.5,3.965517241,3167.758621,-0.1,295.2068966,,0.266666667,190.9333333,-0.1,3167.758621,8.314281236075802,11.457950000000002,26.160190264883322,55.2409635228335,67.56692351924193,16.02761099300767
texas_am_aggies,61.37931034,25.06896552,0.411559012,0.366175443,17.0,6.310344828,17.96551724,12.89655172,0.71785029,13.89655172,4.068965517,5.862068966,15.06896552,0.310344828,26.82758621,12.37931034,0.068965517,18.17241379,69.34482759,67.44827586,1.89655173,14.86206897,,8.333333333,4.035714286,3922.035714,-0.103448276,765.9642857,,0.24137931,693.0,-0.103448276,3922.035714,8.081288809555836,11.323398381285388,64.3130772339187,53.704603597154794,66.49205373857171,56.71828883944267
mississippi_state_bulldogs,64.10714286,27.39285714,0.429734644,0.33205615,21.25,6.785714286,15.53571429,9.785714286,0.629885057315894,13.39285714,5.214285714,9.178571429,11.82142857,0.714285714,23.78571429,11.82142857,0.071428571,14.67857143,71.35714286,68.46428571,2.89285715,13.5,,,4.222222222,4408.72,-0.035714286,400.3703704,,0.214285714,217.2857143,-0.035714286,4408.72,7.504248054353192,11.448357787503971,,49.89957737798389,67.49029583211151,
ole_miss_rebels,61.34482759,25.68965517,0.419366549,0.269821893,11.48275862,3.103448276,19.17241379,12.93103448,0.67446043,14.4137931,4.413793103,9.448275862,14.4137931,0.551724138,24.82758621,14.24137931,0.310344828,17.20689655,67.4137931,56.27586207,11.13793103,18.44827586,,,4.071428571,2830.535714,-0.103448276,623.7142857,,0.137931035,457.137931,-0.103448276,2830.535714,9.565189696741374,11.489147725716741,,63.489496139812516,67.81614751906375,
kentucky_wildcats,63.73333333,27.63333333,0.432660692,0.31902997,17.53333333,5.9,16.26666667,11.33333333,0.69672131,15.8,5.633333333,7.966666667,13.96666667,0.466666667,24.56666667,12.8,0.066666667,15.96666667,72.5,65.53333333,6.96666667,15.56666667,,5.0,4.034482759,5147.142857,-0.1,276.0689655,,0.2,212.5333333,-0.1,5147.142857,8.583971973118414,11.349336667677843,24.723327492952045,57.01931334693612,66.69926254417334,14.49517335048687
ohio_state_buckeyes,64.09090909,31.09090909,0.485293891,0.367670993,22.36363636,7.909090909,18.27272727,13.36363636,0.73134328,17.09090909,4.818181818,8.818181818,13.09090909,0.363636364,29.27272727,10.27272727,0.181818182,14.72727273,83.45454545,55.0,28.45454545,32.09090909,,,3.8,2671.555556,0.0,383.1,,0.636363636,333.9090909,0.0,2671.555556,15.10208944638417,13.766767452824977,,100.0,86.01098337398946,
alabama_crimson_tide,59.16666667,24.53333333,0.417218108,0.335121952,23.2,7.766666667,19.36666667,13.7,0.707401032580482,11.2,3.0,8.9,15.2,0.7,25.3,12.03333333,0.1,16.9,70.53333333,65.13333333,5.4,16.4,,7.5,3.965517241,3167.758621,-0.1,295.2068966,,0.266666667,190.9333333,-0.1,3167.758621,8.314281236075802,11.457950000000002,26.160190264883322,55.2409635228335,67.56692351924193,16.02761099300767
purdue_boilermakers,60.64285714,25.57142857,0.423432057,0.320021004,23.07142857,7.428571429,14.46428571,10.92857143,0.75555556,15.89285714,4.035714286,7.357142857,15.07142857,0.428571429,25.17857143,10.46428571,0.0,17.75,69.5,67.57142857,1.92857143,12.71428571,,5.0,4.185185185,3183.37037,0.0,338.8518519,,0.178571429,174.4642857,0.0,3183.37037,7.399084313260513,11.01480350063941,28.84159360629745,49.20612411916993,64.0268339601354,18.887371504194885
